TIC,Flagfit,Luminosity,E_Luminosity,e_Luminosity,Teff,E_Teff,e_Teff,Radius,E_Radius,e_Radius,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Age,E_Age,e_Age,Ageyr,e_Ageyr,E_Ageyr,age_up_diff,age_lo_diff,age_err,mass_up_diff,mass_lo_diff,mass_err,logAge,logAge_err,logMass,logMass_err,logLum,logTeff
141757732,yes,14.72,0.9,0.78,4885.0,16.0,16.0,5.36,0.16,0.14,3.084,0.078,0.085,1.28,0.23,0.23,4.4,4.5,2.0,4400000000.0,2000000000.0,4500000000.0,100000000.0,2400000000.0,100000000.0,1.05,1.05,1.05,9.643452676486188,0.009870329134164814,0.10720996964786837,-0.2971300571362785,1.1679078100014801,3.688864568054792
142109390,yes,5.64,0.15,0.14,4892.0,22.0,21.0,3.305,0.05,0.045,3.469,0.064,0.062,1.18,0.18,0.16,6.5,4.2,2.6,6500000000.0,2600000000.0,4200000000.0,2300000000.0,3900000000.0,2300000000.0,1.0,1.02,1.0,9.812913356642856,0.1536734320580737,0.07188200730612536,-0.30696244805039263,0.7512791039833423,3.689486448364248
176875114,yes,3.272,0.061,0.056,5490.0,31.0,27.0,1.998,0.022,0.022,3.904,0.024,0.027,1.166,0.06,0.065,6.76,1.2,0.91,6760000000.0,910000000.0,1200000000.0,5560000000.0,5850000000.0,5560000000.0,1.1059999999999999,1.101,1.101,9.829946695941636,0.35720078689084017,0.06669855042299526,-0.3420235619709341,0.5148132949992854,3.739572344450092
33834068,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140580717,yes,3.9,0.17,0.15,5118.0,28.0,26.0,2.511,0.051,0.049,3.697,0.047,0.054,1.15,0.12,0.13,6.4,3.2,1.7,6400000000.0,1700000000.0,3200000000.0,3200000000.0,4700000000.0,3200000000.0,1.0299999999999998,1.02,1.02,9.806179973983888,0.21714724095162588,0.06069784035361165,-0.32126956736821966,0.5910646070264992,3.7091002815511667
177282934,yes,5.34,0.27,0.25,5897.0,24.0,22.0,2.213,0.054,0.052,3.866,0.022,0.024,1.312,0.052,0.055,4.28,0.57,0.47,4280000000.0000005,470000000.0,570000000.0,3710000000.0000005,3810000000.0000005,3710000000.0000005,1.26,1.2570000000000001,1.2570000000000001,9.631443769013172,0.3764561980983795,0.11793383503964149,-0.34703134199331204,0.7275412570285564,3.7706311277778064
142054159,yes,9.37,0.54,0.45,5879.0,64.0,52.0,2.948,0.072,0.07,3.68,0.024,0.026,1.517,0.062,0.065,2.59,0.21,0.2,2590000000.0,200000000.0,210000000.0,2380000000.0,2390000000.0,2380000000.0,1.4549999999999998,1.452,1.452,9.413299764081252,0.3990814158029881,0.18098558078673047,-0.34669557019882713,0.9717395908877782,3.769303460189082
141335100,yes,13.33,0.77,0.7,4508.0,16.0,16.0,5.98,0.18,0.16,2.941,0.077,0.053,1.14,0.2,0.11,8.5,3.6,3.6,8500000000.0,3600000000.0,3600000000.0,4900000000.0,4900000000.0,4900000000.0,0.94,1.0299999999999998,0.94,9.929418925714293,0.25035799545010984,0.05690485133647255,-0.2986690766469259,1.1248301494138593,3.653983907374069
25117756,yes,4.56,0.16,0.14,5151.0,30.0,29.0,2.681,0.047,0.046,3.68,0.043,0.061,1.26,0.11,0.16,4.8,2.8,1.1,4800000000.0,1100000000.0,2800000000.0,2000000000.0,3700000000.0,2000000000.0,1.15,1.1,1.1,9.681241237375588,0.18095603412635491,0.10037054511756291,-0.31622004569000767,0.6589648426644349,3.711891549880579
374858999,yes,5.64,0.22,0.19,5194.0,30.0,28.0,2.931,0.048,0.047,3.609,0.04,0.069,1.28,0.11,0.18,4.14,3.0,0.99,4139999999.9999995,990000000.0,3000000000.0,1139999999.9999995,3149999999.9999995,1139999999.9999995,1.17,1.1,1.1,9.6170003411209,0.11958833559654754,0.10720996964786837,-0.31127910747610127,0.7512791039833423,3.715501945293284
350585437,yes,7.75,0.25,0.22,5015.0,29.0,26.0,3.686,0.059,0.056,3.404,0.061,0.081,1.26,0.18,0.21,4.7,4.1,1.8,4700000000.0,1800000000.0,4099999999.9999995,600000000.0000005,2900000000.0,600000000.0000005,1.08,1.05,1.05,9.672097857935718,0.05544184875360665,0.10037054511756291,-0.30184640724955275,0.8893017025063104,3.700270937356437
350343922,yes,8.35,0.28,0.24,5085.0,29.0,29.0,3.724,0.058,0.053,3.407,0.06,0.081,1.29,0.18,0.22,4.1,3.7,1.5,4099999999.9999995,1500000000.0,3700000000.0,399999999.9999995,2599999999.9999995,399999999.9999995,1.11,1.07,1.07,9.612783856719735,0.04237019335641476,0.11058971029924897,-0.30044247047164785,0.921686475483602,3.7062909572587635
350334038,yes,6.03,0.16,0.14,5339.0,26.0,25.0,2.87,0.038,0.036,3.673,0.022,0.03,1.417,0.064,0.083,3.14,0.62,0.27,3140000000.0,270000000.0,620000000.0,2520000000.0,2870000000.0,2520000000.0,1.353,1.334,1.334,9.496929648073214,0.3485420682790428,0.1513698502474604,-0.34099910284056745,0.7803173121401513,3.7274599208579087
350299541,yes,7.58,0.26,0.23,5133.0,28.0,27.0,3.481,0.056,0.055,3.479,0.055,0.076,1.34,0.16,0.21,3.7,3.1,1.2,3700000000.0,1200000000.0,3100000000.0,600000000.0,2500000000.0,600000000.0,1.1800000000000002,1.1300000000000001,1.1300000000000001,9.568201724066995,0.07042613220052732,0.12710479836480765,-0.30545054345551753,0.8796692056320535,3.710371264260763
349059821,yes,4.689,0.11,0.092,5017.0,29.0,27.0,2.867,0.037,0.035,3.59,0.054,0.063,1.17,0.14,0.15,6.2,4.0,2.1,6200000000.0,2100000000.0,4000000000.0,2200000000.0,4100000000.0,2200000000.0,1.0299999999999998,1.02,1.02,9.792391689498254,0.15410449357857323,0.06818586174616162,-0.31577777989183986,0.6710802327388493,3.7004441010277516
349055915,yes,10.96,0.4,0.39,5759.0,31.0,29.0,3.324,0.061,0.058,3.606,0.018,0.018,1.631,0.048,0.054,2.17,0.13,0.13,2170000000.0,130000000.0,130000000.0,2040000000.0,2040000000.0,2040000000.0,1.583,1.577,1.577,9.33645973384853,0.4082768401302459,0.21245396104027578,-0.3502232624641653,1.0398105541483504,3.7603470785299065
300444376,yes,6.01,0.18,0.15,5135.0,33.0,33.0,3.101,0.047,0.044,3.569,0.048,0.068,1.3,0.14,0.18,4.1,3.0,1.1,4099999999.9999995,1100000000.0,3000000000.0,1099999999.9999995,2999999999.9999995,1099999999.9999995,1.1600000000000001,1.12,1.12,9.612783856719735,0.11651803173014068,0.11394335230683678,-0.3120627471872299,0.7788744720027395,3.710540447933297
299899690,yes,8.35,0.37,0.34,5073.0,21.0,20.0,3.741,0.08,0.078,3.41,0.057,0.078,1.31,0.17,0.22,4.0,3.6,1.4,4000000000.0,1400000000.0,3600000000.0,400000000.0,2600000000.0,400000000.0,1.1400000000000001,1.09,1.09,9.602059991327963,0.04342944819032518,0.11727129565576427,-0.30138557304001146,0.921686475483602,3.7052648623174043
179369970,yes,8.24,0.29,0.25,5069.0,31.0,32.0,3.724,0.066,0.061,3.409,0.062,0.08,1.3,0.18,0.22,4.1,3.7,1.5,4099999999.9999995,1500000000.0,3700000000.0,399999999.9999995,2599999999.9999995,399999999.9999995,1.12,1.08,1.08,9.612783856719735,0.04237019335641476,0.11394335230683678,-0.3009176490734003,0.9159272116971158,3.7049222912234017
167548586,yes,5.33,0.14,0.13,4959.0,29.0,28.0,3.126,0.048,0.044,3.524,0.06,0.068,1.19,0.17,0.17,6.0,4.1,2.2,6000000000.0,2200000000.0,4099999999.9999995,1900000000.0000005,3800000000.0,1900000000.0000005,1.02,1.02,1.02,9.778151250383644,0.13752658593602976,0.07554696139253074,-0.31047059031382573,0.7267272090265723,3.6953941082911097
167250269,yes,8.48,0.34,0.3,5105.0,27.0,27.0,3.724,0.069,0.066,3.413,0.054,0.079,1.31,0.16,0.21,3.8,3.4,1.3,3800000000.0,1300000000.0,3400000000.0,400000000.0,2500000000.0,400000000.0,1.1500000000000001,1.1,1.1,9.57978359661681,0.04571520862139492,0.11727129565576427,-0.3041505782972593,0.9283958522567138,3.707995746422929
150393198,yes,9.07,0.33,0.31,4835.0,17.0,17.0,4.29,0.082,0.077,3.262,0.069,0.075,1.23,0.21,0.19,5.7,4.7,2.4,5700000000.0,2400000000.0,4700000000.0,1000000000.0,3300000000.0,1000000000.0,1.02,1.04,1.02,9.755874855672491,0.07619201436899153,0.08990511143939793,-0.30037398575077445,0.9576072870600952,3.6843964784190204
150273255,yes,3.824,0.12,0.094,5025.0,37.0,34.0,2.58,0.041,0.038,3.66,0.054,0.054,1.11,0.13,0.12,7.3,3.4,2.3,7300000000.0,2300000000.0,3400000000.0,3900000000.0,5000000000.0,3900000000.0,0.9800000000000001,0.9900000000000001,0.9800000000000001,9.863322860120455,0.23202033964694274,0.04532297878665747,-0.319794031464391,0.5825178836040624,3.7011360660925265
150166759,yes,8.99,0.27,0.25,4836.0,22.0,21.0,4.271,0.07,0.067,3.255,0.074,0.072,1.2,0.21,0.18,5.9,4.4,2.5,5900000000.0,2500000000.0,4400000000.0,1500000000.0,3400000000.0,1500000000.0,0.99,1.02,0.99,9.770852011642145,0.11041385133133519,0.07918124604762482,-0.29882794317705724,0.9537596917332287,3.6844862921887342
150150095,yes,8.14,0.27,0.24,5018.0,25.0,24.0,3.772,0.068,0.062,3.407,0.062,0.078,1.33,0.19,0.21,4.1,3.5,1.5,4099999999.9999995,1500000000.0,3500000000.0,599999999.9999995,2599999999.9999995,599999999.9999995,1.1400000000000001,1.12,1.12,9.612783856719735,0.06355529003462217,0.12385164096708583,-0.3050237378521796,0.9106244048892013,3.7005306569785916
150064238,yes,8.08,0.39,0.35,5357.0,36.0,32.0,3.301,0.073,0.072,3.582,0.028,0.046,1.516,0.08,0.13,2.39,0.78,0.23,2390000000.0,230000000.0,780000000.0,1610000000.0,2160000000.0,1610000000.0,1.436,1.3860000000000001,1.3860000000000001,9.378397900948137,0.29255820747457545,0.18069920129603473,-0.3311549766078207,0.9074113607745862,3.7289216463728594
150030411,yes,4.54,0.098,0.098,4895.0,22.0,23.0,2.963,0.038,0.037,3.554,0.061,0.057,1.15,0.16,0.14,7.1,4.0,2.6,7100000000.0,2600000000.0,4000000000.0,3100000000.0,4500000000.0,3100000000.0,0.9899999999999999,1.0099999999999998,0.9899999999999999,9.851258348719075,0.189621534352124,0.06069784035361165,-0.3118204624456249,0.6570558528571039,3.6897526961391565
55760351,yes,7.19,0.34,0.31,5165.0,38.0,36.0,3.347,0.075,0.073,3.513,0.055,0.08,1.34,0.16,0.21,3.6,3.0,1.1,3600000000.0,1100000000.0,3000000000.0,600000000.0,2500000000.0,600000000.0,1.1800000000000002,1.1300000000000001,1.1300000000000001,9.556302500767288,0.07238241365054196,0.12710479836480765,-0.30545054345551753,0.8567288903828826,3.7130703258556395
55270123,yes,5.8,0.19,0.18,5067.0,23.0,23.0,3.125,0.052,0.049,3.541,0.053,0.072,1.24,0.15,0.19,4.9,3.8,1.6,4900000000.0,1600000000.0,3800000000.0,1100000000.0,3300000000.0,1100000000.0,1.09,1.05,1.05,9.690196080028514,0.09749467961093407,0.09342168516223506,-0.3067148976890617,0.7634279935629373,3.704750904290671
381976956,yes,26.4,1.3,1.2,5022.0,23.0,22.0,6.79,0.16,0.15,2.944,0.061,0.087,1.48,0.21,0.26,2.49,2.4,0.88,2490000000.0,880000000.0,2400000000.0,90000000.0,1610000000.0,90000000.0,1.27,1.22,1.22,9.396199347095736,0.015697390912165727,0.17026171539495738,-0.2985832028468549,1.421603926869831,3.700876708376904
293224419,yes,5.64,0.18,0.17,5182.0,26.0,25.0,2.944,0.049,0.047,3.62,0.039,0.063,1.32,0.11,0.17,3.93,2.6,0.89,3930000000.0,890000000.0,2600000000.0,1330000000.0,3040000000.0,1330000000.0,1.21,1.1500000000000001,1.1500000000000001,9.594392550375426,0.14697497733621498,0.1205739312058499,-0.3155666984881688,0.7512791039833423,3.714497408649806
279090824,yes,5.55,0.16,0.13,5371.0,31.0,29.0,2.723,0.033,0.031,3.699,0.022,0.029,1.35,0.061,0.074,3.53,0.64,0.32,3530000000.0,320000000.0,640000000.0,2890000000.0,3210000000.0,2890000000.0,1.2890000000000001,1.276,1.276,9.547774705387823,0.3555555390086112,0.13033376849500614,-0.34236090280038156,0.7442929831226762,3.7300551523755
300085625,yes,5.24,0.11,0.11,4811.0,20.0,20.0,3.296,0.042,0.04,3.466,0.065,0.058,1.16,0.18,0.14,7.1,4.0,2.8,7100000000.0,2800000000.0,4000000000.0,3100000000.0,4300000000.0,3100000000.0,0.98,1.02,0.98,9.851258348719075,0.189621534352124,0.06445798922691845,-0.30600980597023625,0.7193312869837267,3.6822353569025643
260368246,yes,5.5,0.16,0.15,5089.0,19.0,18.0,3.016,0.045,0.044,3.589,0.045,0.066,1.29,0.13,0.18,4.5,3.1,1.3,4500000000.0,1300000000.0,3100000000.0,1400000000.0,3200000000.0,1400000000.0,1.1600000000000001,1.11,1.11,9.653212513775344,0.135113838814345,0.11058971029924897,-0.31167396469488706,0.7403626894942439,3.7066324508732946
150391118,yes,6.05,0.31,0.26,5910.0,45.0,40.0,2.344,0.053,0.049,3.835,0.056,0.033,1.367,0.19,0.075,3.63,0.56,1.2,3630000000.0,1200000000.0,560000000.0,3070000000.0,2430000000.0,2430000000.0,1.177,1.292,1.177,9.559906625036113,0.29072605813358177,0.13576851456782227,-0.31187115259639236,0.7817553746524689,3.7715874808812555
350297922,yes,7.18,0.28,0.24,5136.0,38.0,37.0,3.386,0.054,0.054,3.482,0.057,0.081,1.27,0.16,0.21,4.1,3.6,1.4,4099999999.9999995,1400000000.0,3600000000.0,499999999.9999995,2699999999.9999995,499999999.9999995,1.11,1.06,1.06,9.612783856719735,0.05296274169551846,0.10380372095595687,-0.3023217559223867,0.8561244442423004,3.710625015060797
279614617,yes,9.04,0.38,0.42,5197.0,51.0,57.0,3.708,0.078,0.078,3.408,0.061,0.088,1.29,0.17,0.23,3.6,3.7,1.3,3600000000.0,1300000000.0,3700000000.0,100000000.0,2300000000.0,100000000.0,1.12,1.06,1.06,9.556302500767288,0.01206373560842366,0.11058971029924897,-0.29763459691583805,0.9561684304753633,3.7157527168228595
272356014,yes,8.66,0.48,0.5,5370.0,73.0,77.0,3.398,0.094,0.087,3.524,0.046,0.076,1.41,0.11,0.2,2.62,1.7,0.45,2620000000.0,450000000.0,1700000000.0,920000000.0,2170000000.0,920000000.0,1.2999999999999998,1.21,1.21,9.418301291319745,0.15250035242404258,0.14921911265537988,-0.31083757682719904,0.9375178920173467,3.7299742856995555
350335258,yes,16.72,1.1,0.96,4844.0,21.0,21.0,5.81,0.18,0.17,3.0,0.083,0.083,1.24,0.24,0.21,4.8,4.5,2.3,4800000000.0,2300000000.0,4500000000.0,300000000.0,2500000000.0,300000000.0,1.0,1.03,1.0,9.681241237375588,0.027143405118953235,0.09342168516223506,-0.29210942637053494,1.2232362731029975,3.6852041344710145
149175396,yes,5.79,0.17,0.15,5642.0,35.0,32.0,2.517,0.035,0.034,3.765,0.021,0.02,1.346,0.055,0.054,3.79,0.36,0.31,3790000000.0,310000000.0,360000000.0,3430000000.0,3480000000.0,3430000000.0,1.2910000000000001,1.292,1.2910000000000001,9.578639209968072,0.3930422356010959,0.12904505988795806,-0.347414899042353,0.7626785637274363,3.7514330818193473
220457103,yes,8.31,0.31,0.28,5201.0,18.0,17.0,3.55,0.06,0.059,3.479,0.046,0.07,1.39,0.15,0.21,3.17,2.5,0.91,3170000000.0,910000000.0,2500000000.0,670000000.0,2260000000.0,670000000.0,1.24,1.18,1.18,9.501059262217751,0.09179094727923617,0.14301480025409505,-0.3074924551549401,0.919601023784111,3.716086853774832
374859230,yes,4.262,0.093,0.082,5302.0,23.0,23.0,2.447,0.025,0.024,3.751,0.024,0.032,1.233,0.064,0.084,4.95,1.4,0.66,4950000000.0,660000000.0,1400000000.0,3550000000.0,4290000000.0,3550000000.0,1.169,1.149,1.149,9.69460519893357,0.3114637193447563,0.09096307659573168,-0.33753919409220057,0.6296134453781831,3.7244397233970745
167342488,yes,6.35,0.25,0.24,4982.0,20.0,19.0,3.382,0.07,0.067,3.476,0.059,0.073,1.25,0.17,0.19,5.1,4.1,1.8,5100000000.0,1800000000.0,4099999999.9999995,1000000000.0000005,3300000000.0,1000000000.0000005,1.08,1.06,1.06,9.707570176097937,0.08515578076534351,0.09691001300805642,-0.3071589040171449,0.8027737252919757,3.6974037232004875
150442152,yes,8.98,0.34,0.32,4902.0,26.0,26.0,4.152,0.086,0.078,3.292,0.072,0.078,1.23,0.21,0.2,5.2,4.5,2.2,5200000000.0,2200000000.0,4500000000.0,700000000.0,3000000000.0,700000000.0,1.02,1.03,1.02,9.7160033436348,0.05846271871774543,0.08990511143939793,-0.30037398575077445,0.9532763366673044,3.690373306916059
55662550,yes,7.85,0.48,0.47,5581.0,68.0,65.0,2.995,0.066,0.065,3.633,0.028,0.029,1.409,0.061,0.071,2.76,0.3,0.22,2760000000.0,220000000.0,300000000.0,2460000000.0,2540000000.0,2460000000.0,1.348,1.338,1.338,9.440909082065218,0.3870885599572461,0.14891099310935643,-0.3439635141801859,0.8948696567452525,3.7467120225166606
150430044,yes,8.04,0.32,0.31,4852.0,17.0,18.0,4.012,0.083,0.079,3.321,0.069,0.073,1.23,0.21,0.18,5.8,4.2,2.4,5800000000.0,2400000000.0,4200000000.0,1600000000.0,3400000000.0,1600000000.0,1.02,1.05,1.02,9.763427993562937,0.11980537431813841,0.08990511143939793,-0.30037398575077445,0.9052560487484512,3.685920792194535
278731442,yes,7.39,0.24,0.22,4947.0,20.0,20.0,3.7,0.063,0.059,3.403,0.06,0.078,1.26,0.18,0.2,4.9,4.0,1.9,4900000000.0,1900000000.0,4000000000.0,900000000.0,3000000000.0,900000000.0,1.08,1.06,1.06,9.690196080028514,0.07976837422712788,0.10037054511756291,-0.30472113493764375,0.8686444383948257,3.694341910364181
41587424,yes,11.86,0.62,0.61,4914.0,29.0,29.0,4.75,0.13,0.13,3.198,0.068,0.085,1.3,0.21,0.22,4.4,4.1,1.8,4400000000.0,1800000000.0,4099999999.9999995,300000000.0000005,2600000000.0,300000000.0000005,1.09,1.08,1.08,9.643452676486188,0.029610987402494484,0.11394335230683678,-0.3009176490734003,1.0740846890282438,3.691435152144062
30533103,yes,6.56,0.25,0.22,5003.0,39.0,36.0,3.409,0.07,0.063,3.465,0.064,0.08,1.24,0.18,0.2,5.1,4.3,1.9,5100000000.0,1900000000.0,4300000000.0,800000000.0,3200000000.0,800000000.0,1.06,1.04,1.04,9.707570176097937,0.06812462461227478,0.09342168516223506,-0.30379380342535633,0.8169038393756602,3.699230502883409
348839915,yes,11.02,1.1,0.94,5152.0,23.0,23.0,4.17,0.21,0.18,3.359,0.068,0.08,1.45,0.2,0.22,2.88,2.2,0.98,2880000000.0,980000000.0,2200000000.0,680000000.0,1900000000.0,680000000.0,1.25,1.23,1.23,9.459392487759231,0.10254175267160111,0.16136800223497488,-0.3072588255864413,1.0421815945157662,3.711975854351756
350742718,yes,6.63,0.2,0.19,5286.0,21.0,20.0,3.07,0.043,0.042,3.599,0.028,0.053,1.366,0.082,0.15,3.22,1.8,0.57,3220000000.0,570000000.0,1800000000.0,1420000000.0,2650000000.0,1420000000.0,1.284,1.2160000000000002,1.2160000000000002,9.507855871695831,0.19152116903807997,0.1354506993455138,-0.32244090589937585,0.8215135284047732,3.7231271587956916
