RA,DEC,Star_name,Cluster_name,Age_Myr,DistancePC,V,B-V,V-I,J,H,Ks,2mass_quality,V-Ks,spectral_type,ref,binarity,L_X,L_X_err,L_x_upper_lim,Lx_ref,P_rot,P_rot_err,P_rot_upper_lim,P_rot_ref,data_origin,Mass,Radius,Teff,d(r),Lbol,log(Lx/Lbol),HD,HIP,Gliese,var_name,2mass_name,logTeff,logLum,logMass,logAge_wright,logA_boss,e_logA_boss,E_logA_boss,age_up_diff,age_lo_diff,logA_err,logAge
49.760000,48.182500,AP_93,aPersei,85,172.2,11.99,0.830,-,9.996,9.499,9.363,AAA,2.364,-,-,-,30.118,-,-,P03,0.62,-,-,P03,P03,1.027,0.9229,5440,1.0,0.7574,-3.347,-,-,-,-,03190275+4810596,3.73559889969818,-0.12067469921519255,0.011570443597278159,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
50.164130,50.263750,AP_96,aPersei,85,172.2,14.55,1.420,-,11.166,10.393,10.225,AAA,4.062,-,-,-,29.578,-,-,P03,0.35,-,-,P03,P03,0.762,0.6725,4505,0.684,0.1973,-3.303,-,-,-,-,03203939+5015495,3.6536947953150816,-0.7048729147478088,-0.1180450286603995,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
50.172900,48.410000,AP_97,aPersei,85,172.2,12.08,0.770,-,10.411,9.969,9.884,AAA,1.933,-,-,-,29.458,-,-,P03,4.78,-,-,P03,P03,0.978,0.8716,5278,1.0,0.5999,-3.906,-,-,-,-,03204185+4824375,3.7224693858840308,-0.221921138062545,-0.009661145212398569,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
50.277120,48.436860,AP_98,aPersei,85,172.2,12.80,0.860,-,10.957,10.464,10.327,AAA,2.21,-,-,-,29.048,-,-,P03,6.2,-,-,P03,P03,0.864,0.7628,4876,0.698,0.3396,-4.069,-,-,-,V0625_Per,03210651+4826127,3.6880636969463443,-0.4690323184280849,-0.06348625752110672,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
50.315400,48.585000,AP_100,aPersei,85,172.2,12.80,1.030,-,10.362,9.732,9.603,AAA,2.934,-,-,-,29.658,-,-,P03,0.21,-,-,P03,P03,0.926,0.8207,5102,0.698,0.4677,-3.598,-,-,-,-,03211605+4835072,3.7077404542737713,-0.33003263009149586,-0.033389013318065645,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
50.332900,48.757500,AP_102,aPersei,85,172.2,11.96,0.700,-,10.340,9.972,9.887,AAA,1.81,-,-,-,29.618,-,-,P03,4.26,-,-,P03,P03,0.995,0.8888,5338,1.0,0.6443,-3.777,-,-,-,-,03212020+4845270,3.727378569451489,-0.19091186865365373,-0.002176919254274547,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
50.342420,49.950920,AP_101,aPersei,85,172.2,13.89,1.240,-,11.430,10.904,10.648,AAA,2.979,-,-,-,29.308,-,-,P03,3.2,-,-,P03,P03,0.739,0.6525,4427,0.656,0.1762,-3.524,-,-,-,V0626_Per,03212217+4957033,3.6461095219788477,-0.7539940959239709,-0.13135556160517428,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
50.591412,49.141000,HE_520,aPersei,85,172.2,11.69,0.690,-,10.169,9.759,9.640,AAA,1.59,G3,H56,-,30.228,-,-,P03,0.6,-,-,P03,P03,0.979,0.8727,5282,1.0,0.6027,-3.138,-,-,-,V0484_Per,03222191+4908277,3.722798396870905,-0.2198988085320884,-0.009217308196862182,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
50.902620,48.981500,AP_108,aPersei,85,172.2,12.92,0.930,-,10.900,10.442,10.309,AAA,2.348,-,-,-,29.738,-,-,P03,3.89,-,-,P03,P03,0.852,0.7523,4832,0.698,0.3197,-3.353,-,-,-,-,03233662+4858533,3.6841269256130755,-0.4952573637283121,-0.06956040523329989,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
51.071080,49.650080,HE_601,aPersei,85,172.2,11.43,0.630,-,10.102,9.739,9.622,AAA,1.545,-,-,-,29.708,-,-,P03,3.63,-,-,P03,P03,1.092,0.994,5647,1.0,1.001,-3.878,-,-,-,-,03241706+4939002,3.7518177877368792,0.0004340774793185929,0.038222638368718455,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
