RA,DEC,Star_name,Cluster_name,Age_Myr,DistancePC,V,B-V,V-I,J,H,Ks,2mass_quality,V-Ks,spectral_type,ref,binarity,L_X,L_X_err,L_x_upper_lim,Lx_ref,P_rot,P_rot_err,P_rot_upper_lim,P_rot_ref,data_origin,Mass,Radius,Teff,d(r),Lbol,log(Lx/Lbol),HD,HIP,Gliese,var_name,2mass_name,logTeff,logLum,logMass,logAge_wright,logA_boss,e_logA_boss,E_logA_boss,age_up_diff,age_lo_diff,logA_err,logAge
55.515965,24.712622,HCG65,Pleiades,125,133,13.460,1.360,1.730,10.740,10.100,9.916,-,3.427,-,-,-,29.55,0.106,-,M99,6.626,2.339e-03,-,H10,ME,0.745,0.6493,4422,0.661,0.1757,-3.28,-,-,-,V0610_Tau,-,3.6456187382426952,-0.755228238504705,-0.12784372725170717,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.614990,25.047003,AK1B078,Pleiades,125,133,12.660,1.070,-,10.736,10.200,10.065,-,2.478,-,-,-,29.06,0.174,-,M99,8.406,2.322e-03,-,H10,ME,0.786,0.6919,4581,0.685,0.2178,-3.864,-,-,-,-,-,3.6609602917760835,-0.6619421245802438,-0.10457745396059208,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.762230,24.669737,HII34,Pleiades,125,133,11.960,0.920,0.980,10.275,9.808,9.727,-,2.116,-,-,-,29.028,0.162,-,S94,6.651,1.442e-03,-,H10,ME,0.879,0.777,4927,0.699,0.3643,-4.119,-,-,-,V0810_Tau,-,3.692582562274909,-0.4385408287580841,-0.05601112492622811,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.860924,24.994333,HII97,Pleiades,125,133,12.650,1.080,1.250,10.477,9.956,9.795,-,2.738,-,-,-,29.441,0.092,-,S94,6.749,9.571e-04,-,H10,ME,0.805,0.7106,4652,0.685,0.2402,-3.525,-,-,-,V0700_Tau,-,3.667639706056411,-0.6194269969331128,-0.09420411963213146,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.863014,25.387577,SRS78175,Pleiades,125,133,11.440,0.810,-,9.752,9.311,9.218,-,2.105,-,-,Yes,30.1,0.053,-,M99,0.669,6.410e-06,-,H10,ME,0.97,0.8664,5256,0.723,0.5853,-3.253,-,-,-,-,-,3.7206553565517244,-0.23262147588581947,-0.01322826573375516,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.951378,25.004387,HII174,Pleiades,125,133,11.620,0.850,-,9.958,9.496,9.374,-,2.129,-,-,-,30.244,0.023,-,S94,0.474,1.670e-06,-,H10,ME,0.938,0.8345,5142,0.699,0.501,-3.042,-,-,-,V1271_Tau,-,3.711132072306842,-0.30016227413275426,-0.027797161620935564,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.951721,25.190042,HII173,Pleiades,125,133,10.890,0.840,0.900,9.326,8.962,8.827,-,1.953,K0,W63,Yes,29.32,0.152,-,M99,5.709,1.755e-05,-,H10,ME,1.04,0.94,5488,0.723,0.8164,-4.178,-,-,-,-,-,3.7394141026986953,-0.0880970039559671,0.01703333929878037,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.961273,24.247465,HII193,Pleiades,125,133,11.300,0.790,0.860,9.833,9.429,9.344,-,1.59,G3,B46,-,29.941,0.232,-,M90,5.388,1.269e-03,-,H10,ME,0.944,0.8397,5161,0.699,0.5149,-3.356,-,-,-,-,-,3.7127338590699517,-0.28827710817276525,-0.02502800570193105,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.014748,24.504206,HII253,Pleiades,125,133,10.710,0.680,0.800,9.405,9.118,8.953,-,1.458,G1,W63,-,30.514,0.023,-,S94,1.476,7.046e-05,-,H10,ME,1.053,0.9536,5526,0.941,0.8634,-3.008,-,-,-,V1272_Tau,-,3.7424108805804925,-0.0637879556797512,0.02242837118548649,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.017681,24.989822,HII250,Pleiades,125,133,10.700,0.670,0.730,9.499,9.168,9.061,-,1.458,G1,W63,-,29.438,0.092,-,S94,4.232,1.051e-03,-,H10,ME,1.055,0.9559,5533,0.941,0.8714,-4.088,-,-,-,-,-,3.7429606702141522,-0.05978244440026492,0.023252459633711444,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.020168,24.275501,HII263,Pleiades,125,133,11.630,0.880,0.960,9.943,9.494,9.386,-,2.127,-,-,-,29.852,0.069,-,S94,4.765,1.496e-05,-,H10,ME,0.936,0.8326,5136,0.699,0.4959,-3.429,-,-,-,V1168_Tau,-,3.710625015060797,-0.3046058917088901,-0.028724151261894745,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.046692,23.379330,HII296,Pleiades,125,133,11.450,0.840,0.920,9.956,9.512,9.408,-,1.925,-,-,-,29.662,0.269,-,M90,2.609,9.276e-05,-,H10,ME,0.956,0.8523,5206,0.723,0.548,-3.663,-,-,-,V0966_Tau,-,3.716504163773217,-0.26121944151563076,-0.01954210772389994,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.057980,24.779388,HII293,Pleiades,125,133,10.790,0.700,0.770,9.530,9.172,9.062,-,1.458,G1,W63,-,29.177,0.092,-,S94,3.93,2.213e-03,-,H10,ME,1.037,0.9359,5476,0.723,0.8021,-4.313,-,-,-,V1169_Tau,-,3.7384634394619525,-0.09577148365992152,0.01577875638904093,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.061119,24.101816,HII303,Pleiades,125,133,10.480,0.880,1.050,8.697,8.449,8.314,-,2.049,-,-,Yes,29.92,0.046,-,S94,3.18,5.403e-04,-,H10,ME,1.158,1.078,5853,0.814,1.384,-3.807,-,-,-,-,-,3.7673785241141804,0.14113609012073897,0.06370855939141737,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.083687,24.796156,HII314,Pleiades,125,133,10.600,0.660,0.750,9.339,8.996,8.900,-,1.458,G1,W63,-,30.333,0.023,-,S94,1.479,5.020e-06,-,H10,ME,1.077,0.9801,5603,0.941,0.9555,-3.233,-,-,-,V1038_Tau,-,3.7484206224675685,-0.01976930860896832,0.03221570329798157,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.085445,24.772854,HII320,Pleiades,125,133,11.020,0.900,0.960,9.455,9.027,8.869,-,2.034,-,-,-,29.951,0.046,-,S94,4.516,7.977e-04,-,H10,ME,1.046,0.9457,5504,0.723,0.8361,-3.557,-,-,-,V1084_Tau,-,3.740678425227455,-0.07774177656703338,0.01953168453125545,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.091270,24.768408,HII324,Pleiades,125,133,13.010,1.070,1.310,10.828,10.197,10.070,-,2.823,-,-,-,29.904,0.046,-,S94,0.412,6.600e-07,-,H10,ME,0.752,0.6569,4450,0.685,0.1831,-2.945,-,-,-,V0632_Tau,-,3.6483600109809315,-0.7373116556983035,-0.12378215940835775,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.109486,24.589705,HII345,Pleiades,125,133,11.600,0.840,-,9.835,9.389,9.266,-,2.217,-,-,-,30.214,0.023,-,S94,0.843,3.510e-06,-,H10,ME,0.948,0.8442,5177,0.699,0.5266,-3.094,-,-,-,V1170_Tau,-,3.714078164981856,-0.2785191452299507,-0.023191662661933763,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.113724,24.843962,HII347,Pleiades,125,133,14.020,1.420,1.950,10.913,10.248,10.015,-,3.888,-,-,-,29.593,0.069,-,S94,0.398,1.430e-06,-,H10,ME,0.713,0.6165,4299,0.661,0.1433,-3.149,-,-,-,MY_Tau,-,3.633367445117007,-0.8437538096026556,-0.14691047014813446,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.116707,24.171558,HII357,Pleiades,125,133,13.320,1.210,1.520,10.836,10.146,10.025,-,3.178,-,-,-,29.884,0.069,-,S94,3.79,2.861e-04,-,H10,ME,0.741,0.6451,4406,0.661,0.1715,-2.936,-,-,-,NP_Tau,-,3.6440444928147486,-0.7657358756212107,-0.13018179202067184,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.169800,24.818542,HII405,Pleiades,125,133,9.840,0.550,0.630,8.783,8.540,8.513,-,1.29,F8,G01,-,29.698,0.069,-,S94,1.921,1.515e-04,-,H10,ME,1.231,1.169,6071,0.814,1.875,-4.161,-,-,-,-,-,3.7832602328729488,0.27300127206373764,0.09025805293131633,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.183250,24.231215,HII430,Pleiades,125,133,11.390,0.810,0.860,9.913,9.566,9.469,-,1.768,G8,W63,-,28.84,0.351,-,M99,5.519,8.921e-04,-,H10,ME,0.932,0.8279,5119,0.699,0.4836,-4.43,-,-,-,-,-,3.7091851295502454,-0.31551370781126575,-0.030584087646018616,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.209042,24.911133,HII451,Pleiades,125,133,13.430,1.210,1.430,11.131,10.393,10.341,-,2.972,-,-,-,29.241,0.115,-,S94,5.552,5.175e-04,-,H10,ME,0.707,0.6104,4276,0.661,0.1373,-3.482,-,-,-,V0785_Tau,-,3.6310376965367404,-0.862329462763245,-0.1505805862031006,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.224304,23.921267,HII476,Pleiades,125,133,10.780,0.800,0.910,9.312,8.935,8.816,-,1.34,F9,B84,-,29.569,0.209,-,S94,2.427,2.830e-05,-,H10,ME,1.034,0.9331,5468,0.723,0.7922,-3.915,-,-,-,-,-,3.7378285058957847,-0.1011651619317259,0.014520538757923713,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.234989,24.432623,HII489,Pleiades,125,133,10.420,0.620,0.730,9.218,8.945,8.866,-,1.421,G0,W63,-,29.367,0.115,-,S94,2.85,4.642e-04,-,H10,ME,1.112,1.021,5712,0.941,1.115,-4.266,-,-,-,-,-,3.7567881987681178,0.04727486738417948,0.0461047872460387,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.266689,25.257841,HII514,Pleiades,125,133,10.730,0.700,0.760,9.435,9.146,9.041,-,1.572,-,-,-,29.257,0.162,-,S94,3.79,1.478e-05,-,H10,ME,1.084,0.988,5625,0.941,0.983,-4.321,-,-,-,-,-,3.7501225267834,-0.007446482167864384,0.03502928220236815,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
