RA,DEC,Star_name,Cluster_name,Age_Myr,DistancePC,V,B-V,V-I,J,H,Ks,2mass_quality,V-Ks,spectral_type,ref,binarity,L_X,L_X_err,L_x_upper_lim,Lx_ref,P_rot,P_rot_err,P_rot_upper_lim,P_rot_ref,data_origin,Mass,Radius,Teff,d(r),Lbol,log(Lx/Lbol),HD,HIP,Gliese,var_name,2mass_name,logTeff,logLum,logMass,logAge_wright,logA_boss,e_logA_boss,E_logA_boss,age_up_diff,age_lo_diff,logA_err,logAge
129.813125,19.725444,-,Praesepe,600,182,16.96,-,-,12.883,12.260,12.015,AAA,4.867,-,-,-,29.157,-,-,F03,0.812,-,-,S11,ME,0.456,0.3898,3746,0.543,0.03496,-2.972,-,-,-,-,08391510+1943316,3.5735677730392186,-1.4564285760376345,-0.341035157335565,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
129.877125,20.069000,-,Praesepe,600,182,10.32,-,-,9.140,8.839,8.807,AAA,1.29,F8,R66,-,28.778,0.167,-,R95,7.02,-,-,D11,ME,1.263,1.238,6173,0.874,2.257,-5.161,-,-,-,-,08393042+2004087,3.79049627696711,0.35353155907776207,0.10140335055533072,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
129.882667,19.405083,-,Praesepe,600,182,17.71,-,-,13.566,12.991,12.725,AAA,4.907,-,-,-,28.65,-,-,F03,4.291,-,-,S11,ME,0.343,0.3091,3587,0.0,0.01809,-3.193,-,-,-,-,08393175+1924176,3.5547313766759667,-1.7425614331401862,-0.46470587995722945,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
129.921333,19.991333,-,Praesepe,600,182,15.29,-,-,12.177,11.498,11.323,AAA,3.889,-,-,-,28.778,0.167,-,R95,4.274,-,-,S11,ME,0.608,0.5145,3990,0.612,0.08004,-3.711,-,-,-,-,08394103+1959288,3.6009728956867484,-1.0966929200358262,-0.21609642072726507,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
129.938542,20.124306,-,Praesepe,600,182,17.49,-,-,13.136,12.499,12.296,AAA,5.116,-,-,-,28.845,0.286,-,R95,5.755,-,-,S11,ME,0.409,0.3562,3682,0.093,0.02619,-3.159,-,-,-,-,08394521+2007274,3.5660837841679958,-1.5818645015747679,-0.38827669199265824,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
129.941667,19.367083,-,Praesepe,600,182,10.66,-,-,9.565,9.357,9.259,AAA,1.421,G0,R41,-,29.33,-,-,F03,5.9,-,-,D11,ME,1.194,1.145,5969,0.815,1.674,-4.479,-,-,-,-,08394575+1922011,3.7759015788916743,0.22375545365724117,0.07700432679335026,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
129.946875,19.659694,-,Praesepe,600,182,17.96,-,-,13.784,13.204,12.904,AAA,4.978,-,-,-,28.365,-,-,F03,1.672,-,-,S11,ME,0.317,0.2909,3549,0.0,0.01521,-3.403,-,-,-,-,08394730+1939344,3.550105999347593,-1.8178707859470016,-0.49894073778224846,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
129.977167,19.460528,-,Praesepe,600,182,18.42,-,-,14.242,13.608,13.358,AAA,4.984,-,-,-,28.179,-,-,F03,1.276,-,-,S11,ME,0.258,0.2491,3448,0.0,0.01001,-3.407,-,-,-,-,08395441+1927372,3.5375672571526753,-1.9995659225206814,-0.5883802940367698,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
130.017750,19.414167,-,Praesepe,600,182,18.02,-,-,13.836,13.210,12.967,AAA,4.975,-,-,-,28.679,-,-,F03,2.646,-,-,S11,ME,0.31,0.2855,3538,0.0,0.01436,-3.064,-,-,-,-,08400416+1924502,3.5487578285737045,-1.8428455600937186,-0.5086383061657274,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
130.023792,19.025111,-,Praesepe,600,182,12.62,-,-,10.658,10.149,10.009,AAA,2.533,-,-,-,29.919,0.072,-,R95,4.8,-,-,D11,ME,0.901,0.8049,5013,0.699,0.4112,-3.281,-,-,-,-,08400571+1901307,3.7000977046130537,-0.3859468940127807,-0.04527520902093701,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
130.056125,19.778583,-,Praesepe,600,182,13.19,-,-,11.282,10.739,10.640,AAA,2.472,-,-,-,29.079,0.250,-,R95,5.682,-,-,S11,ME,0.803,0.7166,4634,0.68,0.24,-3.887,-,-,-,-,08401345+1946436,3.6659560294539566,-0.619788758288394,-0.09528445472131904,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
130.106667,19.476028,-,Praesepe,600,182,9.89,-,-,9.004,8.779,8.763,AAA,1.067,F4.8,D11,-,29.096,-,-,F03,13.15,-,-,D11,ME,1.364,1.367,6459,0.925,3.286,-5.006,-,-,-,-,08402554+1928328,3.8101652845431495,0.5166675590990429,0.13481437032046015,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
130.139042,19.634083,-,Praesepe,600,182,12.20,-,-,10.706,10.262,10.169,AAA,1.953,-,-,-,28.657,-,-,F03,9.34,-,-,D11,ME,0.931,0.8364,5125,0.699,0.4962,-4.624,-,-,-,-,08403347+1938009,3.7096938697277917,-0.3043432400638097,-0.03105031901865735,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
130.184750,20.471722,-,Praesepe,600,182,13.93,-,-,11.240,10.577,10.402,AAA,3.45,-,-,-,28.954,0.333,-,R95,4.27,-,-,D11,ME,0.774,0.6865,4522,0.68,0.2079,-3.949,-,-,-,-,08404426+2028187,3.6553305580093407,-0.6821455106685308,-0.11125903931710739,8.778151250383644,8.875,8.877,8.871,0.0039999999999995595,0.002000000000000668,0.002000000000000668,8.875
