RA,DEC,Star_name,Cluster_name,Age_Myr,DistancePC,V,B-V,V-I,J,H,Ks,2mass_quality,V-Ks,spectral_type,ref,binarity,L_X,L_X_err,L_x_upper_lim,Lx_ref,P_rot,P_rot_err,P_rot_upper_lim,P_rot_ref,data_origin,Mass,Radius,Teff,d(r),Lbol,log(Lx/Lbol),HD,HIP,Gliese,var_name,2mass_name,logTeff,logLum,logMass,logAge_wright,logA_boss,e_logA_boss,E_logA_boss,age_up_diff,age_lo_diff,logA_err,logAge
55.495556,25.329012,HCG58,Pleiades,125,133,14.240,1.460,2.040,10.976,10.296,10.091,-,4.032,-,-,-,29.71,0.239,-,M99,0.383,1.070e-06,-,H10,ME,0.701,0.6043,4254,0.661,0.1312,-2.994,-,-,-,KY_Tau,-,3.62879748556671,-0.8820661649603585,-0.15428198203334137,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.589748,24.664650,HCG71,Pleiades,125,133,14.480,1.410,1.820,11.578,10.933,10.718,-,3.645,-,-,-,29.64,0.155,-,M99,2.986,2.171e-04,-,H10,ME,0.603,0.5076,4001,0.625,0.07862,-2.841,-,-,-,V0500_Tau,-,3.602168551378997,-1.1044669605159296,-0.2196826878598487,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.773048,24.824587,HCG97,Pleiades,125,133,15.210,1.517,2.230,11.670,11.005,10.789,-,4.304,-,-,-,29.474,0.092,-,S94,0.28,1.420e-06,-,H10,ME,0.565,0.4748,3935,0.625,0.06547,-2.928,-,-,-,LS_Tau,-,3.5949447366950835,-1.1839576590780034,-0.2479515521805615,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.790607,24.692490,HCG100,Pleiades,125,133,16.370,1.600,2.640,12.288,11.648,11.420,-,4.833,-,-,-,29.214,0.139,-,S94,2.029,1.145e-04,-,H10,ME,0.436,0.3794,3735,0.45,0.03258,-2.885,-,-,-,LU_Tau,-,3.5722906061514177,-1.4870489200275094,-0.36051351073141397,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.804447,24.655403,HCG103,Pleiades,125,133,16.050,1.557,2.540,12.231,11.514,11.293,-,4.64,-,-,-,28.872,0.162,-,S94,0.256,1.060e-06,-,H10,ME,0.464,0.3972,3775,0.567,0.03777,-3.29,-,-,-,LV_Tau,-,3.576916955965207,-1.422853015172475,-0.3334820194451191,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.902607,24.232300,HII134,Pleiades,125,133,14.370,1.470,2.100,10.980,10.477,10.126,-,3.554,M0,M81,Yes,29.474,0.139,-,S94,0.361,1.060e-06,-,H10,ME,0.587,0.4937,3972,0.625,0.07278,-2.974,-,-,-,LZ_Tau,-,3.5990092398233435,-1.1379879487497835,-0.23136189875238555,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.903843,24.393944,HII133,Pleiades,125,133,14.260,1.350,1.730,11.476,10.801,10.636,-,3.507,-,-,-,29.484,0.115,-,S94,1.357,2.277e-05,-,H10,ME,0.622,0.5257,4048,0.625,0.08838,-3.048,-,-,-,V0623_Tau,-,3.6072405038317426,-1.0536460027737256,-0.20620961530918128,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.925556,24.573168,HCG123,Pleiades,125,133,15.430,1.570,2.310,11.832,11.197,10.955,-,4.358,-,-,-,29.344,0.092,-,S94,0.969,1.470e-05,-,H10,ME,0.534,0.4488,3883,0.567,0.05542,-2.986,-,-,-,MO_Tau,-,3.5891673905460477,-1.2563334785537872,-0.2724587429714435,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.967266,24.841591,HII191,Pleiades,125,133,14.500,1.390,1.840,11.509,10.883,10.646,-,3.737,-,-,-,29.454,0.069,-,S94,3.016,1.038e-04,-,H10,ME,0.61,0.5142,4018,0.625,0.08218,-3.047,-,-,-,MR_Tau,-,3.6040099324122306,-1.0852338630741474,-0.21467016498923297,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.982037,24.426390,HII212,Pleiades,125,133,14.300,1.370,1.750,11.514,10.820,10.645,-,3.538,-,-,-,29.464,0.092,-,S94,4.528,3.649e-04,-,H10,ME,0.619,0.5229,4041,0.625,0.08683,-3.061,-,-,-,MS_Tau,-,3.606488850442648,-1.0613301989773207,-0.208309350979882,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
55.986244,24.993528,HCG129,Pleiades,125,133,16.070,1.510,2.180,12.391,11.727,11.511,-,4.442,-,-,-,28.903,0.115,-,S94,3.964,9.966e-04,-,H10,ME,0.436,0.3791,3734,0.45,0.0325,-3.195,-,-,-,V0626_Tau,-,3.5721743136130595,-1.4881166390211256,-0.36051351073141397,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.009483,25.064943,HCG134,Pleiades,125,133,15.620,1.510,2.240,12.150,11.492,11.271,-,4.232,-,-,-,29.314,0.115,-,S94,4.117,5.045e-04,-,H10,ME,0.491,0.4145,3814,0.567,0.04278,-2.903,-,-,-,MU_Tau,-,3.581380688709987,-1.3687592197644909,-0.3089185078770315,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.096096,24.068304,HII335,Pleiades,125,133,13.740,1.280,1.610,10.933,10.294,10.218,-,3.405,-,-,-,29.684,0.046,-,S94,0.357,7.000e-07,-,H10,ME,0.704,0.6071,4264,0.661,0.1339,-3.029,-,-,-,MX_Tau,-,3.6298171960185157,-0.873219422987991,-0.1524273408578878,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.103378,24.768394,HCG149,Pleiades,125,133,15.420,1.550,2.190,11.923,11.259,11.011,-,4.292,-,-,-,29.434,0.069,-,S94,3.265,1.420e-04,-,H10,ME,0.528,0.4439,3874,0.567,0.05353,-2.881,-,-,-,V0631_Tau,-,3.5881596163830918,-1.2714027566165684,-0.27736607746618774,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
56.106625,24.681362,HCG150,Pleiades,125,133,16.660,1.510,2.650,12.525,11.946,11.651,-,4.892,-,-,-,29.324,0.092,-,S94,1.079,4.200e-05,-,H10,ME,0.402,0.3572,3685,0.45,0.02615,-2.679,-,-,-,V0438_Tau,-,3.56643749219507,-1.5825283067967069,-0.3957739469155299,8.096910013008056,7.937,7.966,7.925,0.012000000000000455,0.028999999999999915,0.012000000000000455,7.937
