Mass,Age,Lbol,Rad,logAge,T/Tsun,Teff,logMass,logTeff,logLum
0.69,0.35,5.12,4.49,5.544068044350276,0.7098953308770969,4096.805954491726,-0.16115090926274472,3.6124453940509587,0.7092699609758307
0.94,22.23,0.39,0.96,7.346939462698991,0.806548588017589,4654.591901449506,-0.026872146400301365,3.6678816095455034,-0.4089353929735008
0.36,2.02,0.32,1.44,6.305351369446623,0.6267671821810656,3617.07340836693,-0.44369749923271273,3.5583573228410144,-0.494850021680094
1.85,6.22,7.02,2.61,6.793790384690818,1.0075440075570499,5814.536467611735,0.2671717284030138,3.7645150986719735,0.8463371121298052
0.57,3.0,0.43,1.37,6.477121254719663,0.6918418516968095,3992.6193261422873,-0.24412514432750865,3.601257904625356,-0.36653154442041347
0.48,1.44,0.62,1.76,6.158362492095249,0.6688698012493899,3860.047623010229,-0.3187587626244128,3.5865926627761513,-0.2076083105017461
0.6,3.81,0.39,1.28,6.580924975675619,0.6984915666097014,4030.9948309045867,-0.22184874961635637,3.6054122412413534,-0.4089353929735008
1.0,1.33,1.85,2.32,6.123851640967086,0.765682885109065,4418.7559299644145,0.0,3.6453000139639666,0.2671717284030138
0.9,4.51,0.63,1.43,6.654176541877961,0.7450186055401322,4299.502372572103,-0.045757490560675115,3.6334181929395273,-0.2006594505464183
0.34,2.17,0.29,1.38,6.336459733848529,0.6246833868851696,3605.0478257143136,-0.46852108295774486,3.5569110305827834,-0.5376020021010439
0.38,3.29,0.23,1.17,6.517195897949974,0.6402344337800556,3694.792917344701,-0.42021640338318983,3.56759010243998,-0.638272163982407
0.76,5.15,0.45,1.27,6.711807229041191,0.726777155705288,4194.230965575217,-0.11918640771920865,3.6226523422745203,-0.3467874862246563
0.43,2.92,0.29,1.26,6.465382851448418,0.6537538009925925,3772.8131855282513,-0.36653154442041347,3.57666530122462,-0.5376020021010439
0.55,1.34,0.78,1.88,6.127104798364807,0.6854009878650416,3955.4491009691546,-0.2596373105057561,3.597195800349443,-0.10790539730951959
0.5,3.78,0.3,1.2,6.577491799837225,0.6756000774035172,3898.888046695698,-0.3010299956639812,3.590940764964766,-0.5228787452803376
0.39,0.81,1.08,2.56,5.9084850188786495,0.6371415918176709,3676.944126379779,-0.4089353929735008,3.5654870305244755,0.03342375548694973
0.77,6.15,0.41,1.2,6.788875115775417,0.7304749731871294,4215.571070262924,-0.11350927482751812,3.624856415464784,-0.38721614328026455
1.22,3.99,1.15,1.72,6.600972895686748,0.7896056306923982,4556.81409472583,0.08635983067474821,3.658661310943291,0.06069784035361165
0.99,6.09,0.61,1.36,6.784617292632875,0.7578146636248873,4373.3484237792245,-0.004364805402450088,3.6408140788762458,-0.21467016498923297
0.42,1.04,0.78,2.09,6.017033339298781,0.6500556055099601,3751.47089939798,-0.37675070960209955,3.574201581925756,-0.10790539730951959
0.35,3.19,0.21,1.15,6.503790683057181,0.6312565588092042,3642.9816008879175,-0.4559319556497244,3.561456977815337,-0.6777807052660807
