,loss_train,loss_test,iteration,n_layers,n_nodes,learning_rate
0,7944.083984375,2010.77880859375,1,10,10,0.001
1,7886.05078125,1996.118896484375,2,10,10,0.001
2,7828.00927734375,1981.4561767578125,3,10,10,0.001
3,7769.958984375,1966.7911376953125,4,10,10,0.001
4,7711.89892578125,1952.123291015625,5,10,10,0.001
5,7653.82666015625,1937.452392578125,6,10,10,0.001
6,7595.7353515625,1922.7763671875,7,10,10,0.001
7,7537.6171875,1908.093017578125,8,10,10,0.001
8,7479.4609375,1893.39990234375,9,10,10,0.001
9,7421.25390625,1878.6937255859375,10,10,10,0.001
10,7362.98046875,1863.970458984375,11,10,10,0.001
11,7304.6201171875,1849.22509765625,12,10,10,0.001
12,7246.15087890625,1834.4520263671875,13,10,10,0.001
13,7187.55078125,1819.6455078125,14,10,10,0.001
14,7128.79443359375,1804.7991943359375,15,10,10,0.001
15,7069.8603515625,1789.90771484375,16,10,10,0.001
16,7010.7265625,1774.96533203125,17,10,10,0.001
17,6951.37109375,1759.966796875,18,10,10,0.001
18,6892.8212890625,1745.173828125,19,10,10,0.001
19,6834.0771484375,1730.3311767578125,20,10,10,0.001
20,6775.00048828125,1715.404541015625,21,10,10,0.001
21,6715.568359375,1700.3878173828125,22,10,10,0.001
22,6655.75927734375,1685.275390625,23,10,10,0.001
23,6595.55224609375,1670.061767578125,24,10,10,0.001
24,6534.923828125,1654.741943359375,25,10,10,0.001
25,6473.8525390625,1639.3094482421875,26,10,10,0.001
26,6412.3125,1623.75830078125,27,10,10,0.001
27,6350.2744140625,1608.0809326171875,28,10,10,0.001
28,6287.70654296875,1592.2694091796875,29,10,10,0.001
29,6227.41943359375,1577.0328369140625,30,10,10,0.001
30,6172.41748046875,1563.13037109375,31,10,10,0.001
31,6116.65087890625,1549.0343017578125,32,10,10,0.001
32,6060.1376953125,1534.7490234375,33,10,10,0.001
33,6002.87890625,1520.275146484375,34,10,10,0.001
34,5944.87158203125,1505.611572265625,35,10,10,0.001
35,5886.46142578125,1490.8458251953125,36,10,10,0.001
36,5827.41650390625,1475.91943359375,37,10,10,0.001
37,5767.43701171875,1460.7562255859375,38,10,10,0.001
38,5706.54931640625,1445.3629150390625,39,10,10,0.001
39,5644.7587890625,1429.7410888671875,40,10,10,0.001
40,5582.16796875,1413.9163818359375,41,10,10,0.001
41,5518.93896484375,1397.9298095703125,42,10,10,0.001
42,5454.2294921875,1381.5687255859375,43,10,10,0.001
43,5388.361328125,1364.91357421875,44,10,10,0.001
44,5321.34326171875,1347.9676513671875,45,10,10,0.001
45,5253.16796875,1330.728271484375,46,10,10,0.001
46,5183.81884765625,1313.191650390625,47,10,10,0.001
47,5113.53125,1295.4169921875,48,10,10,0.001
48,5042.041015625,1277.3372802734375,49,10,10,0.001
49,4969.24365234375,1258.9263916015625,50,10,10,0.001
50,4895.49609375,1240.2744140625,51,10,10,0.001
51,4820.8818359375,1221.402587890625,52,10,10,0.001
52,4746.04296875,1202.4735107421875,53,10,10,0.001
53,4670.40283203125,1183.3409423828125,54,10,10,0.001
54,4593.96728515625,1164.0064697265625,55,10,10,0.001
55,4516.33349609375,1144.36767578125,56,10,10,0.001
56,4437.50439453125,1124.4254150390625,57,10,10,0.001
57,4357.4853515625,1104.1812744140625,58,10,10,0.001
58,4276.28564453125,1083.6370849609375,59,10,10,0.001
59,4193.916015625,1062.7957763671875,60,10,10,0.001
60,4110.76708984375,1041.755859375,61,10,10,0.001
61,4026.267578125,1020.372802734375,62,10,10,0.001
62,3941.0205078125,998.7992553710938,63,10,10,0.001
63,3855.26123046875,977.0946044921875,64,10,10,0.001
64,3768.50146484375,955.135009765625,65,10,10,0.001
65,3680.78271484375,932.9307861328125,66,10,10,0.001
66,3592.150146484375,910.493408203125,67,10,10,0.001
67,3502.7490234375,887.8592529296875,68,10,10,0.001
68,3412.49609375,865.00732421875,69,10,10,0.001
69,3321.490478515625,841.9625244140625,70,10,10,0.001
70,3230.044921875,818.8037719726562,71,10,10,0.001
71,3137.979248046875,795.4852294921875,72,10,10,0.001
72,3045.272705078125,772.0011596679688,73,10,10,0.001
73,2952.431640625,748.4801025390625,74,10,10,0.001
74,2859.27978515625,724.8765258789062,75,10,10,0.001
75,2765.926513671875,701.2180786132812,76,10,10,0.001
76,2672.556884765625,677.55126953125,77,10,10,0.001
77,2579.40234375,653.9346923828125,78,10,10,0.001
78,2486.540771484375,630.38720703125,79,10,10,0.001
79,2394.25390625,606.9801025390625,80,10,10,0.001
80,2303.0673828125,583.8462524414062,81,10,10,0.001
81,2212.756103515625,560.9281005859375,82,10,10,0.001
82,2123.609130859375,538.29833984375,83,10,10,0.001
83,2035.9381103515625,516.0355834960938,84,10,10,0.001
84,1950.27099609375,494.273193359375,85,10,10,0.001
85,1866.7578125,473.0492858886719,86,10,10,0.001
86,1785.6103515625,452.41680908203125,87,10,10,0.001
87,1707.15771484375,432.45880126953125,88,10,10,0.001
88,1631.73583984375,413.26019287109375,89,10,10,0.001
89,1559.84375,394.9472961425781,90,10,10,0.001
90,1491.6824951171875,377.57073974609375,91,10,10,0.001
91,1427.51513671875,361.19757080078125,92,10,10,0.001
92,1367.6483154296875,345.9046325683594,93,10,10,0.001
93,1312.384521484375,331.76904296875,94,10,10,0.001
94,1261.991943359375,318.85931396484375,95,10,10,0.001
95,1216.6220703125,307.21466064453125,96,10,10,0.001
96,1176.4874267578125,296.88970947265625,97,10,10,0.001
97,1141.60302734375,287.88934326171875,98,10,10,0.001
98,1111.90625,280.19891357421875,99,10,10,0.001
99,1087.283203125,273.79229736328125,100,10,10,0.001
100,1067.526123046875,268.6195373535156,101,10,10,0.001
101,1052.33251953125,264.60455322265625,102,10,10,0.001
102,1041.2166748046875,261.62744140625,103,10,10,0.001
103,1033.66259765625,259.5610656738281,104,10,10,0.001
104,1029.0618896484375,258.2524108886719,105,10,10,0.001
105,1026.7509765625,257.5379638671875,106,10,10,0.001
106,1026.0743408203125,257.253662109375,107,10,10,0.001
107,1026.3616943359375,257.2312316894531,108,10,10,0.001
108,1027.0250244140625,257.3236389160156,109,10,10,0.001
109,1027.58447265625,257.40985107421875,110,10,10,0.001
110,1027.6917724609375,257.4024963378906,111,10,10,0.001
111,1027.145263671875,257.2463073730469,112,10,10,0.001
112,1025.8577880859375,256.9228210449219,113,10,10,0.001
113,1023.8449096679688,256.4341125488281,114,10,10,0.001
114,1021.2117919921875,255.8043670654297,115,10,10,0.001
115,1018.1041259765625,255.06494140625,116,10,10,0.001
116,1014.6775512695312,254.2556610107422,117,10,10,0.001
117,1011.0903930664062,253.41542053222656,118,10,10,0.001
118,1007.509033203125,252.58035278320312,119,10,10,0.001
119,1004.0557861328125,251.78091430664062,120,10,10,0.001
120,1000.8059692382812,251.03468322753906,121,10,10,0.001
121,997.8045043945312,250.35157775878906,122,10,10,0.001
122,995.065185546875,249.7316436767578,123,10,10,0.001
123,992.569091796875,249.17092895507812,124,10,10,0.001
124,990.3146362304688,248.66763305664062,125,10,10,0.001
125,988.3013916015625,248.22044372558594,126,10,10,0.001
126,986.5065307617188,247.82167053222656,127,10,10,0.001
127,984.897216796875,247.46533203125,128,10,10,0.001
128,983.4287109375,247.1398468017578,129,10,10,0.001
129,982.0404663085938,246.82911682128906,130,10,10,0.001
130,980.6875,246.52169799804688,131,10,10,0.001
131,979.3330078125,246.20816040039062,132,10,10,0.001
132,977.9514770507812,245.88247680664062,133,10,10,0.001
133,976.4974365234375,245.53302001953125,134,10,10,0.001
134,974.926025390625,245.1478271484375,135,10,10,0.001
135,973.1982421875,244.7176971435547,136,10,10,0.001
136,971.302978515625,244.23936462402344,137,10,10,0.001
137,969.2522583007812,243.71710205078125,138,10,10,0.001
138,967.0668334960938,243.1553192138672,139,10,10,0.001
139,964.7570190429688,242.55819702148438,140,10,10,0.001
140,962.3421630859375,241.9319305419922,141,10,10,0.001
141,959.8389282226562,241.28091430664062,142,10,10,0.001
142,957.2899780273438,240.6144561767578,143,10,10,0.001
143,954.838134765625,239.96688842773438,144,10,10,0.001
144,952.5213012695312,239.35679626464844,145,10,10,0.001
145,950.2930908203125,238.7750244140625,146,10,10,0.001
146,948.0411987304688,238.19235229492188,147,10,10,0.001
147,945.673828125,237.58511352539062,148,10,10,0.001
148,943.1574096679688,236.9438018798828,149,10,10,0.001
149,940.4838256835938,236.26800537109375,150,10,10,0.001
150,937.6676025390625,235.56076049804688,151,10,10,0.001
151,934.7352905273438,234.82798767089844,152,10,10,0.001
152,931.728759765625,234.07835388183594,153,10,10,0.001
153,928.689697265625,233.3251495361328,154,10,10,0.001
154,925.6357421875,232.57391357421875,155,10,10,0.001
155,922.5942993164062,231.83106994628906,156,10,10,0.001
156,919.5718994140625,231.092041015625,157,10,10,0.001
157,916.5145263671875,230.34426879882812,158,10,10,0.001
158,913.3828125,229.5791473388672,159,10,10,0.001
159,910.1491088867188,228.78579711914062,160,10,10,0.001
160,906.7994995117188,227.95745849609375,161,10,10,0.001
161,903.314697265625,227.09194946289062,162,10,10,0.001
162,899.6731567382812,226.18405151367188,163,10,10,0.001
163,895.863037109375,225.2324676513672,164,10,10,0.001
164,891.8924560546875,224.2371368408203,165,10,10,0.001
165,887.787109375,223.20217895507812,166,10,10,0.001
166,883.5831909179688,222.13607788085938,167,10,10,0.001
167,879.298583984375,221.05447387695312,168,10,10,0.001
168,874.9521484375,219.96115112304688,169,10,10,0.001
169,870.5742797851562,218.8642120361328,170,10,10,0.001
170,866.1967163085938,217.7679901123047,171,10,10,0.001
171,861.8265380859375,216.6710968017578,172,10,10,0.001
172,857.5003662109375,215.5823516845703,173,10,10,0.001
173,853.1436767578125,214.489501953125,174,10,10,0.001
174,848.7705688476562,213.39410400390625,175,10,10,0.001
175,844.3407592773438,212.28900146484375,176,10,10,0.001
176,839.8286743164062,211.16885375976562,177,10,10,0.001
177,835.227294921875,210.03367614746094,178,10,10,0.001
178,830.5321044921875,208.8785858154297,179,10,10,0.001
179,825.7794799804688,207.7124481201172,180,10,10,0.001
180,820.943115234375,206.52783203125,181,10,10,0.001
181,816.0172119140625,205.32200622558594,182,10,10,0.001
182,811.0088500976562,204.0907440185547,183,10,10,0.001
183,805.9535522460938,202.84353637695312,184,10,10,0.001
184,800.928466796875,201.59515380859375,185,10,10,0.001
185,795.9676513671875,200.3527069091797,186,10,10,0.001
186,791.1153564453125,199.13221740722656,187,10,10,0.001
187,786.435546875,197.96083068847656,188,10,10,0.001
188,781.878662109375,196.82443237304688,189,10,10,0.001
189,777.4717407226562,195.73379516601562,190,10,10,0.001
190,773.2123413085938,194.68113708496094,191,10,10,0.001
191,769.0745239257812,193.66250610351562,192,10,10,0.001
192,765.0346069335938,192.66004943847656,193,10,10,0.001
193,761.0654296875,191.67115783691406,194,10,10,0.001
194,757.1560668945312,190.69686889648438,195,10,10,0.001
195,753.2891845703125,189.73614501953125,196,10,10,0.001
196,749.4483642578125,188.78309631347656,197,10,10,0.001
197,745.625,187.83535766601562,198,10,10,0.001
198,741.8014526367188,186.89332580566406,199,10,10,0.001
199,737.9649658203125,185.9530792236328,200,10,10,0.001
200,734.1348266601562,185.01547241210938,201,10,10,0.001
201,730.3505859375,184.0821990966797,202,10,10,0.001
202,726.642333984375,183.1683349609375,203,10,10,0.001
203,723.0355224609375,182.28282165527344,204,10,10,0.001
204,719.5314331054688,181.42662048339844,205,10,10,0.001
205,716.13232421875,180.59884643554688,206,10,10,0.001
206,712.8128051757812,179.7885284423828,207,10,10,0.001
207,709.5514526367188,178.98739624023438,208,10,10,0.001
208,706.3522338867188,178.1964111328125,209,10,10,0.001
209,703.259765625,177.43023681640625,210,10,10,0.001
210,700.2279052734375,176.6778106689453,211,10,10,0.001
211,697.240234375,175.93161010742188,212,10,10,0.001
212,694.296630859375,175.1940460205078,213,10,10,0.001
213,691.3868408203125,174.46641540527344,214,10,10,0.001
214,688.4943237304688,173.74594116210938,215,10,10,0.001
215,685.61181640625,173.03018188476562,216,10,10,0.001
216,682.7382202148438,172.32037353515625,217,10,10,0.001
217,679.880859375,171.61268615722656,218,10,10,0.001
218,677.0394287109375,170.90782165527344,219,10,10,0.001
219,674.2180786132812,170.20452880859375,220,10,10,0.001
220,671.4139404296875,169.50135803222656,221,10,10,0.001
221,668.6255493164062,168.79527282714844,222,10,10,0.001
222,665.8408203125,168.08726501464844,223,10,10,0.001
223,663.0582885742188,167.378662109375,224,10,10,0.001
224,660.283447265625,166.67071533203125,225,10,10,0.001
225,657.5106201171875,165.96141052246094,226,10,10,0.001
226,654.73193359375,165.25228881835938,227,10,10,0.001
227,651.9442138671875,164.5360870361328,228,10,10,0.001
228,649.14794921875,163.8056640625,229,10,10,0.001
229,646.3416748046875,163.06832885742188,230,10,10,0.001
230,643.5096435546875,162.3248748779297,231,10,10,0.001
231,640.6668090820312,161.5870819091797,232,10,10,0.001
232,637.8470458984375,160.85975646972656,233,10,10,0.001
233,635.11474609375,160.1536102294922,234,10,10,0.001
234,632.4644165039062,159.46568298339844,235,10,10,0.001
235,629.8214111328125,158.7805633544922,236,10,10,0.001
236,627.2178344726562,158.10617065429688,237,10,10,0.001
237,624.703857421875,157.4532928466797,238,10,10,0.001
238,622.259033203125,156.82229614257812,239,10,10,0.001
239,619.843505859375,156.20750427246094,240,10,10,0.001
240,617.4534912109375,155.60267639160156,241,10,10,0.001
241,615.0806884765625,155.0079345703125,242,10,10,0.001
242,612.724365234375,154.4192657470703,243,10,10,0.001
243,610.375732421875,153.83251953125,244,10,10,0.001
244,608.025634765625,153.24298095703125,245,10,10,0.001
245,605.7091064453125,152.65602111816406,246,10,10,0.001
246,603.4163208007812,152.0687713623047,247,10,10,0.001
247,601.1506958007812,151.4911346435547,248,10,10,0.001
248,598.9110717773438,150.92515563964844,249,10,10,0.001
249,596.67431640625,150.36257934570312,250,10,10,0.001
250,594.4345092773438,149.80287170410156,251,10,10,0.001
251,592.2044067382812,149.2482147216797,252,10,10,0.001
252,589.99609375,148.69757080078125,253,10,10,0.001
253,587.8162841796875,148.1510009765625,254,10,10,0.001
254,585.662353515625,147.61048889160156,255,10,10,0.001
255,583.5428466796875,147.0778045654297,256,10,10,0.001
256,581.4586791992188,146.5548858642578,257,10,10,0.001
257,579.417724609375,146.04176330566406,258,10,10,0.001
258,577.4351806640625,145.5438995361328,259,10,10,0.001
259,575.4915771484375,145.05584716796875,260,10,10,0.001
260,573.587158203125,144.58169555664062,261,10,10,0.001
261,571.7169799804688,144.11534118652344,262,10,10,0.001
262,569.8649291992188,143.65016174316406,263,10,10,0.001
263,568.016357421875,143.1802978515625,264,10,10,0.001
264,566.1693115234375,142.70726013183594,265,10,10,0.001
265,564.3192749023438,142.2333526611328,266,10,10,0.001
266,562.49169921875,141.7653045654297,267,10,10,0.001
267,560.6318359375,141.28936767578125,268,10,10,0.001
268,558.7916259765625,140.81906127929688,269,10,10,0.001
269,556.9524536132812,140.34783935546875,270,10,10,0.001
270,555.1179809570312,139.8775177001953,271,10,10,0.001
271,553.2913208007812,139.4066619873047,272,10,10,0.001
272,551.48046875,138.94027709960938,273,10,10,0.001
273,549.6841430664062,138.48240661621094,274,10,10,0.001
274,547.9027709960938,138.03067016601562,275,10,10,0.001
275,546.1149291992188,137.58251953125,276,10,10,0.001
276,544.3422241210938,137.1368865966797,277,10,10,0.001
277,542.5794067382812,136.68893432617188,278,10,10,0.001
278,540.826904296875,136.24200439453125,279,10,10,0.001
279,539.080078125,135.79608154296875,280,10,10,0.001
280,537.3320922851562,135.34715270996094,281,10,10,0.001
281,535.5858154296875,134.8976593017578,282,10,10,0.001
282,533.8482666015625,134.44857788085938,283,10,10,0.001
283,532.1185302734375,134.00320434570312,284,10,10,0.001
284,530.38818359375,133.56005859375,285,10,10,0.001
285,528.6582641601562,133.11630249023438,286,10,10,0.001
286,526.9290771484375,132.67047119140625,287,10,10,0.001
287,525.2033081054688,132.22525024414062,288,10,10,0.001
288,523.488037109375,131.78604125976562,289,10,10,0.001
289,521.7850341796875,131.35321044921875,290,10,10,0.001
290,520.1000366210938,130.92613220214844,291,10,10,0.001
291,518.4295654296875,130.50341796875,292,10,10,0.001
292,516.7703247070312,130.085693359375,293,10,10,0.001
293,515.12109375,129.67127990722656,294,10,10,0.001
294,513.482666015625,129.2595672607422,295,10,10,0.001
295,511.8625793457031,128.8532257080078,296,10,10,0.001
296,510.260498046875,128.45306396484375,297,10,10,0.001
297,508.67340087890625,128.0565643310547,298,10,10,0.001
298,507.09027099609375,127.66004943847656,299,10,10,0.001
299,505.49468994140625,127.2590103149414,300,10,10,0.001
300,503.86846923828125,126.85133361816406,301,10,10,0.001
301,502.2070617675781,126.43528747558594,302,10,10,0.001
302,500.5207824707031,126.01238250732422,303,10,10,0.001
303,498.8013000488281,125.58565521240234,304,10,10,0.001
304,497.0724792480469,125.1554946899414,305,10,10,0.001
305,495.3472900390625,124.72430419921875,306,10,10,0.001
306,493.6263732910156,124.29069519042969,307,10,10,0.001
307,491.9233703613281,123.8598861694336,308,10,10,0.001
308,490.2611389160156,123.43844604492188,309,10,10,0.001
309,488.63995361328125,123.02601623535156,310,10,10,0.001
310,487.05072021484375,122.62285614013672,311,10,10,0.001
311,485.48358154296875,122.22724151611328,312,10,10,0.001
312,483.946044921875,121.83847045898438,313,10,10,0.001
313,482.4305114746094,121.45172882080078,314,10,10,0.001
314,480.9256591796875,121.06636810302734,315,10,10,0.001
315,479.439208984375,120.68123626708984,316,10,10,0.001
316,477.9814147949219,120.29869079589844,317,10,10,0.001
317,476.5569152832031,119.92182922363281,318,10,10,0.001
318,475.173095703125,119.55300903320312,319,10,10,0.001
319,473.833984375,119.19596862792969,320,10,10,0.001
320,472.5419006347656,118.85061645507812,321,10,10,0.001
321,471.2896423339844,118.51740264892578,322,10,10,0.001
322,470.0682373046875,118.1937255859375,323,10,10,0.001
323,468.8676452636719,117.87771606445312,324,10,10,0.001
324,467.6862487792969,117.56914520263672,325,10,10,0.001
325,466.5277404785156,117.26860046386719,326,10,10,0.001
326,465.396728515625,116.97517395019531,327,10,10,0.001
327,464.298583984375,116.68917083740234,328,10,10,0.001
328,463.2294006347656,116.40682983398438,329,10,10,0.001
329,462.1940002441406,116.12979125976562,330,10,10,0.001
330,461.18292236328125,115.85668182373047,331,10,10,0.001
331,460.1932678222656,115.58708953857422,332,10,10,0.001
332,459.2220458984375,115.32173156738281,333,10,10,0.001
333,458.2701416015625,115.05941009521484,334,10,10,0.001
334,457.33929443359375,114.8001937866211,335,10,10,0.001
335,456.43255615234375,114.54519653320312,336,10,10,0.001
336,455.5548400878906,114.29750061035156,337,10,10,0.001
337,454.6998291015625,114.05797576904297,338,10,10,0.001
338,453.8628234863281,113.82707214355469,339,10,10,0.001
339,453.03369140625,113.60063171386719,340,10,10,0.001
340,452.21697998046875,113.37681579589844,341,10,10,0.001
341,451.41790771484375,113.15637969970703,342,10,10,0.001
342,450.634033203125,112.94396209716797,343,10,10,0.001
343,449.8662414550781,112.73875427246094,344,10,10,0.001
