,loss_train,loss_test,iteration,n_layers,n_nodes,learning_rate
0,293926.15625,73794.5859375,1,10,10,0.001
1,290648.1875,72972.3046875,2,10,10,0.001
2,287384.25,72153.5390625,3,10,10,0.001
3,284134.46875,71338.296875,4,10,10,0.001
4,280898.1875,70526.4296875,5,10,10,0.001
5,277673.8125,69717.53125,6,10,10,0.001
6,274459.5,68911.1015625,7,10,10,0.001
7,271253.84375,68106.8203125,8,10,10,0.001
8,268056.21875,67304.5234375,9,10,10,0.001
9,264866.34375,66504.15625,10,10,10,0.001
10,261683.984375,65705.65625,11,10,10,0.001
11,258508.9375,64908.97265625,12,10,10,0.001
12,255340.9375,64114.05078125,13,10,10,0.001
13,252179.953125,63320.87109375,14,10,10,0.001
14,249027.265625,62529.75390625,15,10,10,0.001
15,245878.609375,61739.62890625,16,10,10,0.001
16,242733.625,60950.4140625,17,10,10,0.001
17,239591.796875,60161.98046875,18,10,10,0.001
18,236452.359375,59374.125,19,10,10,0.001
19,233315.28125,58586.84375,20,10,10,0.001
20,230180.28125,57800.0625,21,10,10,0.001
21,227046.890625,57013.67578125,22,10,10,0.001
22,223914.78125,56227.5859375,23,10,10,0.001
23,220783.515625,55441.69140625,24,10,10,0.001
24,217652.8125,54655.91015625,25,10,10,0.001
25,214522.171875,53870.13671875,26,10,10,0.001
26,211391.28125,53084.2734375,27,10,10,0.001
27,208259.859375,52298.2421875,28,10,10,0.001
28,205127.546875,51511.984375,29,10,10,0.001
29,202004.46875,50728.015625,30,10,10,0.001
30,198893.71875,49947.13671875,31,10,10,0.001
31,195779.703125,49165.4140625,32,10,10,0.001
32,192662.34375,48382.828125,33,10,10,0.001
33,189541.65625,47599.37890625,34,10,10,0.001
34,186417.796875,46815.109375,35,10,10,0.001
35,183290.984375,46030.0703125,36,10,10,0.001
36,180161.5625,45244.3515625,37,10,10,0.001
37,177030.0,44458.06640625,38,10,10,0.001
38,173896.828125,43671.3515625,39,10,10,0.001
39,170762.78125,42884.3828125,40,10,10,0.001
40,167628.578125,42097.3515625,41,10,10,0.001
41,164500.890625,41311.92578125,42,10,10,0.001
42,161380.796875,40528.37890625,43,10,10,0.001
43,158264.59375,39745.77734375,44,10,10,0.001
44,155153.59375,38964.44140625,45,10,10,0.001
45,152049.203125,38184.74609375,46,10,10,0.001
46,149001.25,37419.1796875,47,10,10,0.001
47,145975.953125,36659.27734375,48,10,10,0.001
48,142953.515625,35900.0546875,49,10,10,0.001
49,139952.859375,35146.26953125,50,10,10,0.001
50,136981.578125,34399.828125,51,10,10,0.001
51,134028.78125,33657.9921875,52,10,10,0.001
52,131118.5625,32926.8125,53,10,10,0.001
53,128296.671875,32217.78515625,54,10,10,0.001
54,125539.3515625,31524.955078125,55,10,10,0.001
55,122833.359375,30844.982421875,56,10,10,0.001
56,120162.3125,30173.74609375,57,10,10,0.001
57,117528.9453125,29511.94140625,58,10,10,0.001
58,114935.953125,28860.2421875,59,10,10,0.001
59,112386.0859375,28219.333984375,60,10,10,0.001
60,109882.1015625,27589.91015625,61,10,10,0.001
61,107426.71875,26972.66015625,62,10,10,0.001
62,105022.6953125,26368.2734375,63,10,10,0.001
63,102672.75,25777.435546875,64,10,10,0.001
64,100379.6328125,25200.837890625,65,10,10,0.001
65,98146.0546875,24639.154296875,66,10,10,0.001
66,95974.6796875,24093.064453125,67,10,10,0.001
67,93872.6484375,23564.361328125,68,10,10,0.001
68,91833.34375,23051.380859375,69,10,10,0.001
69,89861.578125,22555.328125,70,10,10,0.001
70,87965.7578125,22078.328125,71,10,10,0.001
71,86144.78125,21620.103515625,72,10,10,0.001
72,84401.171875,21181.27734375,73,10,10,0.001
73,82737.25,20762.4453125,74,10,10,0.001
74,81118.15625,20354.87109375,75,10,10,0.001
75,79505.2578125,19948.85546875,76,10,10,0.001
76,77968.2265625,19561.873046875,77,10,10,0.001
77,76515.796875,19196.111328125,78,10,10,0.001
78,75154.1875,18853.126953125,79,10,10,0.001
79,73888.296875,18534.1640625,80,10,10,0.001
80,72722.0390625,18240.19921875,81,10,10,0.001
81,71658.375,17971.984375,82,10,10,0.001
82,70699.171875,17729.994140625,83,10,10,0.001
83,69857.46875,17517.53125,84,10,10,0.001
84,69096.9921875,17325.4296875,85,10,10,0.001
85,68452.0078125,17162.3671875,86,10,10,0.001
86,67907.078125,17024.453125,87,10,10,0.001
87,67457.9453125,16910.630859375,88,10,10,0.001
88,67098.859375,16819.466796875,89,10,10,0.001
89,66822.75,16749.197265625,90,10,10,0.001
90,66621.0625,16697.69140625,91,10,10,0.001
91,66452.6875,16654.625,92,10,10,0.001
92,66357.0703125,16629.75,93,10,10,0.001
93,66310.1015625,16617.15625,94,10,10,0.001
94,66327.2265625,16620.810546875,95,10,10,0.001
95,66366.6640625,16630.26953125,96,10,10,0.001
96,66407.71875,16640.365234375,97,10,10,0.001
97,66439.3671875,16648.26171875,98,10,10,0.001
98,66450.984375,16651.1640625,99,10,10,0.001
99,66429.0234375,16645.87109375,100,10,10,0.001
100,66376.9375,16633.2109375,101,10,10,0.001
101,66304.96875,16615.70703125,102,10,10,0.001
102,66310.8828125,16617.72265625,103,10,10,0.001
103,66249.125,16602.724609375,104,10,10,0.001
104,66210.9453125,16593.677734375,105,10,10,0.001
105,66166.09375,16582.939453125,106,10,10,0.001
106,66096.6015625,16566.021484375,107,10,10,0.001
107,66021.3828125,16547.642578125,108,10,10,0.001
108,65961.6796875,16533.146484375,109,10,10,0.001
109,65909.890625,16520.623046875,110,10,10,0.001
110,65856.8984375,16507.7890625,111,10,10,0.001
111,65802.265625,16494.521484375,112,10,10,0.001
112,65745.7421875,16480.751953125,113,10,10,0.001
113,65686.5859375,16466.302734375,114,10,10,0.001
114,65628.0234375,16451.982421875,115,10,10,0.001
115,65576.3125,16439.3359375,116,10,10,0.001
116,65530.30859375,16428.080078125,117,10,10,0.001
117,65483.87109375,16416.6640625,118,10,10,0.001
118,65436.171875,16404.87890625,119,10,10,0.001
119,65386.54296875,16392.5625,120,10,10,0.001
120,65334.390625,16379.55859375,121,10,10,0.001
121,65279.3984375,16365.7939453125,122,10,10,0.001
122,65221.42578125,16351.234375,123,10,10,0.001
123,65159.7109375,16335.689453125,124,10,10,0.001
124,65093.3125,16318.9296875,125,10,10,0.001
125,65022.3125,16300.9755859375,126,10,10,0.001
126,64946.85546875,16281.8701171875,127,10,10,0.001
127,64866.9140625,16261.6123046875,128,10,10,0.001
128,64782.4375,16240.1962890625,129,10,10,0.001
129,64693.421875,16217.625,130,10,10,0.001
130,64599.8359375,16193.896484375,131,10,10,0.001
131,64501.53515625,16168.98046875,132,10,10,0.001
132,64398.27734375,16142.8251953125,133,10,10,0.001
133,64289.72265625,16115.3369140625,134,10,10,0.001
134,64174.91796875,16086.2939453125,135,10,10,0.001
135,64052.6796875,16055.3955078125,136,10,10,0.001
136,63921.51171875,16022.2880859375,137,10,10,0.001
137,63779.6953125,15986.525390625,138,10,10,0.001
138,63627.33984375,15948.1259765625,139,10,10,0.001
139,63467.3203125,15907.7939453125,140,10,10,0.001
140,63301.60546875,15866.080078125,141,10,10,0.001
141,63132.75390625,15823.580078125,142,10,10,0.001
142,62961.30078125,15780.453125,143,10,10,0.001
143,62784.578125,15736.03515625,144,10,10,0.001
144,62598.28125,15689.23828125,145,10,10,0.001
145,62399.4140625,15639.3203125,146,10,10,0.001
146,62186.4609375,15585.880859375,147,10,10,0.001
147,61958.421875,15528.65625,148,10,10,0.001
148,61714.5625,15467.4638671875,149,10,10,0.001
149,61454.625,15402.2421875,150,10,10,0.001
150,61174.8359375,15332.021484375,151,10,10,0.001
151,60862.7578125,15253.65234375,152,10,10,0.001
152,60529.41015625,15169.9287109375,153,10,10,0.001
153,60172.1640625,15080.224609375,154,10,10,0.001
154,59785.859375,14983.3046875,155,10,10,0.001
155,59370.16015625,14879.0556640625,156,10,10,0.001
156,58920.29296875,14766.2451171875,157,10,10,0.001
157,58428.0703125,14642.716796875,158,10,10,0.001
158,57878.859375,14504.841796875,159,10,10,0.001
159,57266.546875,14351.064453125,160,10,10,0.001
160,56594.62109375,14182.42578125,161,10,10,0.001
161,55857.2578125,13997.365234375,162,10,10,0.001
162,55057.2109375,13796.515625,163,10,10,0.001
163,54207.3359375,13583.1572265625,164,10,10,0.001
164,53335.06640625,13364.162109375,165,10,10,0.001
165,52458.65234375,13144.18359375,166,10,10,0.001
166,51575.5546875,12922.6103515625,167,10,10,0.001
167,50617.5078125,12682.326171875,168,10,10,0.001
168,49582.1640625,12422.826171875,169,10,10,0.001
